,キャッチコピー,ステータス,企業名,初年度年収
106,UIターン歓迎★MDシステムの【企画開発】ベイシアグループ 正社員,正社員,株式会社ベイシア | 流通技術研究所【ベイシア/カインズ/ワークマンなど全国に展開】,350万円～700万円
107,CADソフトの【提案営業】年休121日◎残業月18Ｈ程度～◎ 正社員,正社員,デジタルプロセス株式会社,400万円～650万円
108,数値解析やデータ分析を担う【製品開発支援エンジニア】 正社員,正社員,デジタルプロセス株式会社 | 年間休日121日/完全週休2日/残業平均18時間◎,400万円～700万円
109,【POSシステムリプレース企画・構築・運用(自社システム)】 正社員,正社員,株式会社ベイシア | 流通技術研究所【ベイシア/カインズ/ワークマンなど全国に展開】,350万円～700万円
110,年商1兆円を誇るグループの【財務・会計系システム開発】 正社員,正社員,株式会社ベイシア | 流通技術研究所【ベイシア/カインズ/ワークマンなど全国に展開】,350万円～700万円
111,グループ共通AWSクラウド環境の【構築・運用】※大規模IT部門 正社員,正社員,株式会社ベイシア | 流通技術研究所【ベイシア/カインズ/ワークマンなど全国に展開】,350万円～1000万円
112,年商1兆円を誇るベイシアグループの【インフラエンジニア】 正社員,正社員,株式会社ベイシア | 流通技術研究所【ベイシア/カインズ/ワークマンなど全国に展開】,350万円～700万円
113,<100％直請け>【 ITエンジニア 】★年休121日 ★自社内開発多数 正社員,正社員,株式会社コスモサミット | <大手繊維メーカー・鋳造業メーカーなどと取引> ★オンオフ充実,400万円～700万円
114,《年休115日》即席めん製造機械【機械設計】★未経験もOK！ 正社員,正社員,株式会社冨士製作所 | 創立56年／即席めん製造機械メーカー／圧倒的なシェアを誇る企業,320万円～500万円
115,グループ共通システムをオープン系へ刷新する【SE】 正社員,正社員,株式会社ベイシア | 流通技術研究所【ベイシア/カインズ/ワークマンなど全国に展開】,350万円～700万円
116,札幌勤務【SE】独立系SI／20年以上のノウハウでドコデモ開発を 正社員,正社員,株式会社デジック | 北海道で自由度高くプロフェッショナル集団を目指す！,306万円～594万円
117,東京勤務【SE】独立系SI／20年以上のノウハウでドコデモ開発を 正社員,正社員,株式会社デジック | 東京で自由度高くプロフェッショナル集団を目指す！,360万円～648万円
118,【ITエンジニア】年休125日◇土日祝休み◇賞与年5.0ヶ月分 正社員,正社員,株式会社ケイケンシステム | 独立系ソフトウェア開発企業◆駅チカ好立地◆残業月平均20h程度,280万円～650万円
119,自社パッケージシステムを開発する【SE・PG】※有給取得率◎ 正社員,正社員,日本ソフトウェアコンサルタンツ株式会社 | 【100％自社内開発／ユーザーと直接やりとり】☆年間休日123日,
120,未経験OK！【SE・PG】月の残業10hほど/年休120日以上 正社員,正社員,株式会社西日本エグゼック | 【6月26日（土）マイナビ転職フェア熊本に出展いたします】,250万円～500万円
121,【総合職（ITエンジニア/経理総務/営業）】★完全週休二日制 正社員,正社員,株式会社メクゼス | マイナビ転職フェア大阪に出展！★6/26(土)@グランフロント大阪,380万円～450万円
122,【事務スタッフ】*＊プライベートに合わせたお休み取得が可能＊* 正社員,正社員,医療社団法人久和会 | 【残業ほぼナシ☆賞与4.3カ月☆産休・育休取得＆復帰実績多数】,
123,自分のペースで働ける【リペアスタッフ】年休125日◎転勤なし！ 正社員,正社員,有限会社にのせ電子 | 基本土日祝休み/UIターン歓迎/大手メーカーとの取引中心◎,200万円～240万円
124,【総合職(ハーネス製造/基盤製造/営業)】若手活躍中/未経験OK 正社員,正社員,株式会社H・Iシステック | 【 6月26日（土）マイナビ転職フェア 熊本に出展します！】,250万円～350万円
125,年齢・学歴不問！【組立スタッフ】年休125日◎転勤なし！ 正社員,正社員,有限会社にのせ電子 | 基本土日祝休み/UIターン歓迎/大手メーカーとの取引中心◎,200万円～240万円
126,【Webデザイナー】★リモートワーク可★月給30万円可★土日祝休 正社員,正社員,株式会社Mediowl | 【大手ゲーム会社や出版社等と取引多数！】★年間休日120日以上,300万円～500万円
127,未経験歓迎！【法人営業】26歳まで｜特別な経験・資格必要なし 正社員,正社員,富士ビジネス株式会社 | 大手企業と取引◎／年間休日122日／高定着率・平均勤続年数18年,300万円～350万円
128,医事システムの提案を行う【法人営業】★年間休日124日 正社員,正社員,株式会社メディソフト | 創業104年・医薬品業のリーディングカンパニー<モロオ>グループ,
129,★有休もとりやすい環境！モノづくり企業を支える【ルート営業】 正社員,正社員,株式会社H・Iシステック | 取引先はジェイデバイスや三菱電機等、大手企業多数！,
130,【ITエンジニア】☆U・Iターン入社実績多数 ☆Web面接可能！ 正社員,正社員,株式会社北海道キューブシステム | 株式会社キューブシステム（東証一部上場）のグループ会社,340万円～560万円
